Feature;Value
ApplicationName;GaitAnalysis
TestType;Broker
DeviceURL;http://192.168.2.125:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1674215.830253
BluetoothConnected;1674215.856855
ThreadStarted:1674220.681861
SocketInitialized;1674220.686661
DeviceConnected:1674220.777847
FilenameTime:1674220.798877
Filename:1_2023_08_18_20_49_53_FGy9rwb5-_2tkDGyAAAH.json
ProcessReady;1674220.806212
FirstResponseReceived;1674220.864770
