Feature;Value
ApplicationName;GaitAnalysis
TestType;Broker
DeviceURL;http://192.168.2.125:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1683338.082406
BluetoothConnected;1683338.107859
ThreadStarted:1683344.548488
SocketInitialized;1683344.554247
DeviceConnected:1683344.643391
FilenameTime:1683344.658887
Filename:1_2023_08_18_23_21_58_TQcKqVSs2XCy_bmYAAA0.json
ProcessReady;1683344.665816
FirstResponseReceived;1683344.710815
