Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1665279.920817
BluetoothConnected;1665279.947335
ThreadStarted:1665285.774976
SocketInitialized;1665285.779900
DeviceConnected:1665286.466475
FilenameTime:1665286.567967
Filename:1_2023_08_18_14_51_02_NNo7mfCZnJT-RCBwAAAF.json
ProcessReady;1665286.870925
FirstResponseReceived;1665287.087980
