Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1670812.723356
BluetoothConnected;1670812.746576
ThreadStarted:1670829.744426
SocketInitialized;1670829.749636
DeviceConnected:1670830.229730
FilenameTime:1670830.382986
Filename:1_2023_08_18_16_23_26_59zgERfxiZqz9NMDAAAL.json
ProcessReady;1670830.436778
FirstResponseReceived;1670830.518388
