Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1650378.219493
BluetoothConnected;1650378.257268
ThreadStarted:1650384.517526
AssignFogNode_Latitude;41.1073293
AssignFogNode_Longitude;28.7827509
AssignFogNodeRequested;1650384.521766
AssignWorkerDeviceRequested;1650384.774322
BrokerIPAssigned;1650384.773318
BrokerIP;212.253.104.215
BrokerType;WAN
BrokerDistance;17.815618448756158
SocketInitialized;1650384.874092
WorkerDeviceAssigned;1650384.860259
WorkerIP;192.168.2.151
CPU_Usage;1.5000000000000013
DeviceConnected:1650385.145761
FilenameTime:1650385.205294
Filename:undefined_2023_08_18_13_05_06_kDquije_L_7ganzqAAAV.json
FilenameTime:1650385.253034
Filename:1_2023_08_18_13_05_06_jmeN5UiicB6x9HyqAAAT.json
ProcessReady;1650385.254204
FirstResponseReceived;1650385.349824
