Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1654307.075293
BluetoothConnected;1654307.112712
ThreadStarted:1654313.854604
AssignFogNode_Latitude;41.1073304
AssignFogNode_Longitude;28.7826937
AssignFogNodeRequested;1654313.859489
AssignWorkerDeviceRequested;1654314.099759
BrokerIPAssigned;1654314.099029
BrokerIP;212.253.104.215
BrokerType;WAN
BrokerDistance;17.81947344409186
SocketInitialized;1654314.199129
WorkerDeviceAssigned;1654314.185188
WorkerIP;192.168.2.151
CPU_Usage;1.2594458438287104
DeviceConnected:1654314.486146
FilenameTime:1654314.555793
Filename:undefined_2023_08_18_14_47_35_yZE2Fku366TvCSD0AAAp.json
FilenameTime:1654314.591819
Filename:1_2023_08_18_14_47_34_6rC6edf6rYL6aASzAAAn.json
ProcessReady;1654314.593347
FirstResponseReceived;1654314.652273
