Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;371472.636087
BluetoothConnected;371472.673317
ThreadStarted:371494.649812
SocketInitialized;371494.663057
DeviceConnected:371495.163175
FilenameTime:371495.258404
Filename:1_2023_09_19_07_38_22_QzKVNqkQC2aRvTFNAAAP.json
ProcessReady;371495.333253
FirstResponseReceived;371495.452302
