Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;374980.586466
BluetoothConnected;374980.624439
ThreadStarted:374986.984630
SocketInitialized;374986.998552
DeviceConnected:374987.522967
FilenameTime:374987.619377
Filename:1_2023_09_19_08_36_34_fDAPqgRHujDX2UGLAAAl.json
ProcessReady;374987.687070
FirstResponseReceived;374987.770287
