Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1635141.215873
BluetoothConnected;1635141.245036
ThreadStarted:1635156.666977
AssignFogNode_Latitude;41.1073293
AssignFogNode_Longitude;28.7827509
AssignFogNodeRequested;1635156.669628
AssignWorkerDeviceRequested;1635156.892340
BrokerIPAssigned;1635156.891305
BrokerIP;192.168.2.125
BrokerType;LAN
BrokerDistance;0
SocketInitialized;1635156.922973
WorkerDeviceAssigned;1635156.916169
WorkerIP;192.168.2.151
CPU_Usage;1.0075566750629705
DeviceConnected:1635157.016992
FilenameTime:1635157.042643
Filename:1_2023_08_18_08_49_25_l4Tk3BOoCjos70EjAAAV.json
ProcessReady;1635157.052995
FirstResponseReceived;1635157.097987
