Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1637463.949028
BluetoothConnected;1637463.978404
ThreadStarted:1637473.658090
AssignFogNode_Latitude;41.1073293
AssignFogNode_Longitude;28.7827509
AssignFogNodeRequested;1637473.660841
AssignWorkerDeviceRequested;1637473.914908
BrokerIPAssigned;1637473.913994
BrokerIP;192.168.2.125
BrokerType;LAN
BrokerDistance;0
SocketInitialized;1637473.945445
WorkerDeviceAssigned;1637473.937941
WorkerIP;192.168.2.151
CPU_Usage;1.2562814070351758
DeviceConnected:1637474.024704
FilenameTime:1637474.048777
Filename:1_2023_08_18_09_28_02_L6K42ax0Hd36ubRvAAAr.json
ProcessReady;1637474.065308
FirstResponseReceived;1637474.089435
