Feature;Value
ApplicationName;GaitAnalysis
TestType;Worker
DeviceURL;http://192.168.2.151:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1686120.567856
BluetoothConnected;1686120.593101
ThreadStarted:1686137.918135
SocketInitialized;1686137.923925
DeviceConnected:1686138.014057
FilenameTime:1686138.031415
Filename:1_2023_08_19_00_08_31_0Az7LyhT6FyrNr34AABN.json
ProcessReady;1686138.048654
FirstResponseReceived;1686138.086987
