Feature;Value
ApplicationName;GaitAnalysis
TestType;Worker
DeviceURL;http://192.168.2.151:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1689973.363391
BluetoothConnected;1689973.387253
ThreadStarted:1689982.849675
SocketInitialized;1689982.855002
DeviceConnected:1689982.947436
FilenameTime:1689982.963279
Filename:1_2023_08_19_01_12_36_g2U4uS3Sj9R70ZpMAAB3.json
ProcessReady;1689982.980139
FirstResponseReceived;1689982.997374
