Feature;Value
ApplicationName;GaitAnalysis
TestType;Broker
DeviceURL;http://192.168.2.125:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1693165773.699362
ThreadStarted;1693165773.699828
WorkerResourceThreadStarted;1693165773.700833
DeviceConnected;1693165773.734813
Filename;0_2023_08_27_22_49_35_CIR37UynscHJ6yRTAAAP.json
ProcessReady;1693165773.753587
FirstDataSent;1693165773.942102
FirstResponseReceived;1693165773.953525
TheadStopped;1693166138.427143
