Feature;Value
ApplicationName;GaitAnalysis
TestType;Broker
DeviceURL;http://192.168.2.125:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1693168228.3911
ThreadStarted;1693168228.392095
WorkerResourceThreadStarted;1693168228.3931
DeviceConnected;1693168228.425349
Filename;0_2023_08_27_23_30_30_1jH0ReDASsfQ0flBAAA3.json
ProcessReady;1693168228.431174
FirstDataSent;1693168228.629714
FirstResponseReceived;1693168228.640282
TheadStopped;1693168239.123255
