Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1693161672.059939
ThreadStarted;1693161672.061943
WorkerResourceThreadStarted;1693161672.061943
DeviceConnected;1693161672.362244
Filename;0_2023_08_27_18_41_13_pqlrtuGsrCF5z6bbAAAT.json
ProcessReady;1693161672.413309
FirstDataSent;1693161672.577258
FirstResponseReceived;1693161672.62626
TheadStopped;1693162037.065147
