Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1693163237.144909
ThreadStarted;1693163237.146142
WorkerResourceThreadStarted;1693163237.146142
DeviceConnected;1693163237.452887
Filename;0_2023_08_27_19_07_18_EeZT9JBpnneKPYgzAAAt.json
ProcessReady;1693163237.507182
FirstDataSent;1693163237.667254
FirstResponseReceived;1693163237.719868
TheadStopped;1693163248.157403
