Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1692437055.193885
ThreadStarted;1692437055.194888
AssignFogNode_Latitude;41.0138
AssignFogNode_Longitude;28.9497
AssignFogNodeRequested;1692437055.194888
BrokerIPAssigned;1692437055.377503
BrokerIP;212.253.104.215
BrokerType;WAN
BrokerDistance;0.5686438102936416
AssignWorkerDeviceRequested;1692437055.377503
WorkerDeviceAssigned;1692437055.485649
WorkerIP;212.253.104.215
CPU_Usage;1.995012468827928
WorkerResourceThreadStarted;1692437055.487648
CloudResourceThreadStarted;1692437055.487648
DeviceConnected;1692437055.968721
Filename;undefined_2023_08_19_12_24_18_FnGJ3oHCkeC2UEl6AAAJ.json
Filename;0_2023_08_19_12_24_17_FOVdIQJZwXFpdJjNAAAH.json
ProcessReady;1692437056.112567
FirstDataSent;1692437056.173849
FirstResponseReceived;1692437056.216557
TheadStopped;1692437420.665116
