Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1692439470.634959
ThreadStarted;1692439470.634959
AssignFogNode_Latitude;41.0138
AssignFogNode_Longitude;28.9497
AssignFogNodeRequested;1692439470.634959
BrokerIPAssigned;1692439470.798652
BrokerIP;212.253.104.215
BrokerType;WAN
BrokerDistance;0.5686438102936416
AssignWorkerDeviceRequested;1692439470.798652
WorkerDeviceAssigned;1692439470.894851
WorkerIP;212.253.104.215
CPU_Usage;2.0000000000000018
WorkerResourceThreadStarted;1692439470.89685
CloudResourceThreadStarted;1692439470.897851
DeviceConnected;1692439471.149682
Filename;undefined_2023_08_19_13_04_33_d53TztqgrFNzlIGWAAAb.json
Filename;0_2023_08_19_13_04_32_7hcWXMCVtzzircAqAAAZ.json
ProcessReady;1692439471.293723
FirstDataSent;1692439471.363724
FirstResponseReceived;1692439471.417695
TheadStopped;1692439481.859589
