Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1695639866.142757
ThreadStarted;1695639866.143781
WorkerResourceThreadStarted;1695639866.145765
DeviceConnected;1695639866.688826
Filename;0_2023_09_25_11_04_26_qbliKZmRJ0BXNbGcAAB7.json
ProcessReady;1695639866.761153
FirstDataSent;1695639866.895433
FirstResponseReceived;1695639866.97162
TheadStopped;1695640231.380245
