Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1695642628.341917
ThreadStarted;1695642628.342934
WorkerResourceThreadStarted;1695642628.344947
DeviceConnected;1695642628.822972
Filename;0_2023_09_25_11_50_28_XYU2CU2fcMX3dpFKAACp.json
ProcessReady;1695642628.898748
FirstDataSent;1695642629.028388
FirstResponseReceived;1695642629.102805
TheadStopped;1695642639.515761
