Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1692402135.466236
ThreadStarted;1692402135.467232
AssignFogNode_Latitude;41.0138
AssignFogNode_Longitude;28.9497
AssignFogNodeRequested;1692402135.467232
BrokerIPAssigned;1692402135.568094
BrokerIP;192.168.2.125
BrokerType;LAN
BrokerDistance;0
AssignWorkerDeviceRequested;1692402135.56903
WorkerDeviceAssigned;1692402135.579559
WorkerIP;192.168.2.125
CPU_Usage;1.5037593984962405
WorkerResourceThreadStarted;1692402135.581563
BrokerResourceThreadStarted;1692402135.582566
CloudResourceThreadStarted;1692402135.583565
DeviceConnected;1692402135.631591
Filename;0_2023_08_19_02_42_16_kBUKP7mHko590rzhAAAP.json
ProcessReady;1692402135.657956
FirstDataSent;1692402135.841126
FirstResponseReceived;1692402135.849747
TheadStopped;1692402500.323335
