Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1692404239.148398
ThreadStarted;1692404239.149376
AssignFogNode_Latitude;41.0138
AssignFogNode_Longitude;28.9497
AssignFogNodeRequested;1692404239.149376
BrokerIPAssigned;1692404239.266094
BrokerIP;192.168.2.125
BrokerType;LAN
BrokerDistance;0
AssignWorkerDeviceRequested;1692404239.266094
WorkerDeviceAssigned;1692404239.280085
WorkerIP;192.168.2.125
CPU_Usage;1.5037593984962405
WorkerResourceThreadStarted;1692404239.282084
BrokerResourceThreadStarted;1692404239.283084
CloudResourceThreadStarted;1692404239.285082
DeviceConnected;1692404239.330056
Filename;0_2023_08_19_03_17_20_bHeirWpop8G3MhZXAAAx.json
ProcessReady;1692404239.356041
FirstDataSent;1692404239.541774
FirstResponseReceived;1692404239.550609
TheadStopped;1692404250.025007
