Feature;Value
ApplicationName;GaitAnalysis
TestType;Worker
DeviceURL;http://192.168.2.151:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1693186891.949146
ThreadStarted;1693186891.949146
WorkerResourceThreadStarted;1693186891.950142
DeviceConnected;1693186891.993931
Filename;0_2023_08_28_04_41_33_6KaO8kwMbGKm6xOqAAAN.json
ProcessReady;1693186892.022966
FirstDataSent;1693186892.19926
FirstResponseReceived;1693186892.207235
TheadStopped;1693187256.687596
