Feature;Value
ApplicationName;GaitAnalysis
TestType;Worker
DeviceURL;http://192.168.2.151:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1693188732.998737
ThreadStarted;1693188732.998737
WorkerResourceThreadStarted;1693188732.999733
DeviceConnected;1693188733.036809
Filename;0_2023_08_28_05_12_14_JaCCGMyH9kW2itCSAAAx.json
ProcessReady;1693188733.063676
FirstDataSent;1693188733.253256
FirstResponseReceived;1693188733.260906
TheadStopped;1693188743.739037
