Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Capacitance
7266,-0.91,-0.31,0.05,0.94,0.18,0.21,479
7286,-0.9,-0.32,0.06,0.4,-0.11,0.3,477
7306,-0.92,-0.32,0.06,0.68,-0.64,0.32,477
7326,-0.9,-0.3,0.05,0.32,-0.58,0.52,477
7346,-0.9,-0.3,0.06,0.39,-0.32,0.52,477
7366,-0.91,-0.3,0.06,0.37,-0.49,0.47,477
7387,-0.91,-0.28,0.06,-0.88,-1.39,0.27,477
7406,-0.91,-0.28,0.05,-2.36,-2.03,0.3,477
7427,-0.91,-0.3,0.06,-1.74,-1.6,-0.2,477
7446,-0.92,-0.3,0.06,-1.43,-2.53,0.66,477
7467,-0.9,-0.31,0.05,-4.29,-7.16,1.83,477
7486,-0.89,-0.31,0.08,-5.31,-6.75,2.53,477
7506,-0.88,-0.34,0.08,-3.89,-4.72,2.72,477
7526,-0.91,-0.33,0.06,-4.7,-7.37,3.25,477
7546,-0.92,-0.28,0.05,-4.55,-7.83,2.32,477
7566,-0.9,-0.25,0.05,-5.51,-4.96,2.06,477
7586,-0.92,-0.31,0.06,-3.22,-2.99,0.37,477
7606,-0.91,-0.32,0.08,3.06,-0.56,-1.54,478
7626,-0.93,-0.24,0.06,4.74,0.02,-2.15,478
7646,-0.94,-0.17,0.05,-5.37,-4.15,-2.08,478
7666,-0.92,-0.22,0.04,-12.47,-7.42,-3.05,478
7686,-0.94,-0.26,0.07,-8.27,-5.27,-7.02,478
7706,-0.9,-0.31,0.06,-1.37,-2.75,-8.43,478
7727,-0.91,-0.3,0.05,2.84,-2.11,-11.97,478
7746,-0.91,-0.31,-0.04,5.96,-1.14,-14.28,479
7767,-0.93,-0.35,0.09,10.87,-1.71,-11.19,479
7786,-0.87,-0.45,0.07,21.52,3.04,-17.39,479
7806,-0.93,-0.33,0.06,40.13,7.83,-18.11,480
7826,-0.96,-0.14,0.04,44.66,8.43,-20.41,480
7846,-1.04,0.01,0.05,45.29,0.69,-25.34,480
7866,-1.09,0.23,0.14,42.61,0.38,-33.48,481
7886,-1.11,0.36,0.18,28.65,0.46,-41.99,482
7906,-1.17,0.28,0.2,-0.82,-1.33,-55.63,482
7926,-1.14,-0.09,0.21,-28.68,-4.26,-64.37,483
7946,-0.96,-0.48,0.13,-38.73,-6.47,-60.23,483
7966,-0.81,-0.66,0.13,-15.97,4.7,-35.88,482
7986,-0.85,-0.51,0.12,-2.41,2.0,1.76,481
8006,-0.8,-0.42,0.12,-10.64,-10.85,40.03,480
8027,-0.65,-0.51,0.12,-7.98,-15.34,75.31,480
