Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Capacitance

7265,-0.9,-0.32,0.06,0.42,0.4,5.87,494

7285,-0.89,-0.33,0.08,-0.85,0.02,2.69,492

7305,-0.9,-0.33,0.08,-0.97,-0.05,-1.73,492

7325,-0.89,-0.33,0.05,-0.19,0.24,-1.45,492

7345,-0.89,-0.33,0.04,-1.29,-0.1,-6.65,492

7365,-0.89,-0.37,0.06,-0.28,0.14,-2.19,492

7386,-0.88,-0.36,0.05,2.25,-0.21,-0.78,492

7405,-0.88,-0.35,0.06,2.34,-0.16,-10.48,492

7426,-0.88,-0.35,0.08,2.02,-0.15,4.37,492

7445,-0.88,-0.33,0.06,0.47,-0.07,0.05,492

7465,-0.89,-0.37,0.07,-0.18,-1.12,-0.92,492

7485,-0.88,-0.37,0.05,1.53,-1.47,7.49,491

7505,-0.89,-0.35,0.06,3.17,-1.08,-5.36,492

7525,-0.89,-0.34,0.08,2.88,-1.57,0.56,492

7545,-0.89,-0.32,0.07,3.35,-0.76,2.06,492

7565,-0.9,-0.31,0.05,2.79,0.88,2.47,492

7585,-0.9,-0.33,0.06,0.66,0.21,3.84,492

7605,-0.89,-0.34,0.07,0.97,-2.33,1.74,492

7625,-0.89,-0.31,0.07,0.25,-1.23,-4.3,492

7645,-0.91,-0.31,0.08,-2.51,-1.29,-9.35,492

7665,-0.92,-0.31,0.05,-5.18,-4.91,-5.62,492

7686,-0.87,-0.41,0.04,6.05,1.41,-6.05,492

7706,-0.91,-0.37,0.04,15.84,5.29,-1.58,493

7727,-0.92,-0.27,0.06,9.85,2.21,-12.41,492

7746,-0.9,-0.27,0.06,4.73,0.51,-2.62,492

7767,-0.91,-0.27,0.05,2.65,-1.14,-11.41,493

7786,-0.92,-0.26,0.05,-3.2,-2.65,-3.99,493

7806,-0.91,-0.32,0.06,-5.2,-4.68,-7.64,493

7826,-0.93,-0.27,0.07,-1.61,-4.8,-12.81,493

7846,-0.95,-0.22,0.02,2.71,-4.68,-19.47,493

7866,-0.96,-0.23,0.06,9.21,-3.31,-23.92,494

7886,-0.91,-0.28,0.11,20.15,1.93,-33.18,495

7906,-0.91,-0.27,0.16,29.26,7.93,-41.02,495

7926,-0.98,-0.23,0.21,33.69,9.21,-38.94,497

7946,-0.94,-0.19,0.27,29.63,8.85,-50.35,498

7966,-0.88,-0.32,0.16,21.06,9.09,-51.02,500

7986,-0.87,-0.47,0.11,9.7,4.42,-41.91,500

8006,-0.74,-0.6,0.09,-0.74,0.43,-39.32,499

8027,-0.79,-0.56,0.03,-5.08,2.08,-28.73,500

8046,-0.93,-0.48,0.08,-5.92,-4.51,-33.32,500

8067,-0.91,-0.35,0.13,-11.82,-17.15,-5.19,500

8086,-0.91,-0.36,0.16,-21.7,-25.49,17.17,500

8107,-0.88,-0.41,0.13,-26.05,-35.64,31.92,501

8126,-0.88,-0.44,0.18,-18.94,-35.43,48.12,501

8146,-0.86,-0.45,0.23,-3.29,-28.01,65.82,501

8166,-0.83,-0.39,0.2,10.5,-22.3,70.79,501

8186,-0.83,-0.36,0.15,24.44,-11.4,90.43,501

8206,-0.91,-0.31,0.17,31.69,-5.69,89.6,501

8226,-0.88,-0.17,0.13,24.89,-11.6,100.6,500

8246,-0.88,-0.23,0.12,15.09,-17.26,89.9,499

8266,-0.86,-0.3,0.21,17.61,-15.44,100.54,499

8286,-0.81,-0.19,0.16,18.62,-15.18,85.72,498

8306,-0.88,-0.19,0.13,15.38,-12.91,78.06,498

8326,-0.94,-0.19,0.18,15.81,-13.81,69.45,498

8346,-0.92,-0.08,0.16,13.11,-11.09,50.66,498

8367,-0.91,-0.18,0.18,8.51,-7.15,47.67,498

8386,-0.88,-0.15,0.19,7.08,-5.2,43.81,498

8407,-0.9,-0.04,0.13,-3.58,-3.81,24.72,498

8426,-0.87,-0.13,0.13,-19.98,-10.45,22.31,497

8446,-0.83,-0.21,0.18,-24.57,-6.54,-0.01,497

8466,-0.82,-0.2,0.18,-26.4,-1.0,-20.16,497

8486,-0.91,-0.15,0.12,-43.11,-4.47,-31.72,497

8506,-0.85,-0.12,0.11,-74.01,-16.6,-32.03,497

8526,-0.83,-0.34,0.1,-82.59,-9.84,-49.22,497

8546,-1.05,-0.42,0.31,-40.94,12.86,-25.28,497

8566,-1.27,-0.25,0.47,5.69,19.01,-12.19,498

8586,-1.03,-0.05,0.25,-3.84,11.93,-39.64,498

8606,-0.87,-0.11,0.11,-32.8,3.72,-35.12,498

8626,-0.84,-0.28,-0.01,-29.03,12.27,-27.73,498

8646,-0.93,-0.3,-0.01,-23.92,15.11,-26.94,498

8667,-0.89,-0.36,0.11,-21.96,15.11,-29.22,498

8686,-0.9,-0.3,0.17,-21.53,14.92,-28.24,497

8707,-0.83,-0.32,0.17,-27.27,12.37,-28.02,497

8726,-0.83,-0.51,0.18,-12.1,20.42,-17.07,497

8747,-0.93,-0.31,0.07,-6.07,21.5,-22.2,497

8766,-0.89,-0.2,0.05,-16.97,15.93,-11.61,497

8786,-0.9,-0.28,0.1,-14.88,18.01,-26.84,497

8806,-0.9,-0.31,0.13,-8.48,17.82,-20.01,497

8826,-0.86,-0.4,0.13,5.08,25.01,-29.53,497

8846,-0.9,-0.4,-0.0,28.11,35.3,-25.57,497

8866,-0.99,-0.26,-0.02,25.03,30.04,-21.45,497

8886,-0.87,-0.35,-0.05,15.46,25.9,-31.57,497

8906,-0.92,-0.46,0.05,22.8,27.7,-22.01,497

8926,-0.94,-0.21,0.02,12.37,20.91,-17.85,497

8946,-0.87,-0.25,-0.04,-7.53,12.27,-23.57,497

8966,-0.88,-0.41,0.02,-6.28,13.08,-19.29,496

8986,-0.91,-0.3,0.04,-2.25,12.08,-27.45,497

9007,-0.87,-0.29,0.06,-8.05,9.24,-15.92,496

9026,-0.87,-0.36,0.07,-9.03,10.4,-31.52,497

9047,-0.91,-0.36,0.03,-0.5,12.31,-20.81,497

9066,-0.9,-0.2,-0.01,4.4,16.54,-19.8,497

9086,-0.95,-0.17,0.0,-7.78,11.37,-16.72,497

9106,-0.87,-0.36,0.01,-17.49,5.7,-29.38,497

9126,-0.85,-0.46,0.03,-10.5,9.75,-34.38,496

9146,-0.83,-0.42,0.05,1.73,15.84,-30.4,496

9166,-0.82,-0.36,0.06,5.27,18.1,-29.25,497

9186,-0.9,-0.29,0.02,1.72,20.45,-34.51,496

9206,-0.91,-0.35,-0.05,4.02,16.94,-33.9,496

9226,-0.86,-0.37,-0.04,4.3,15.78,-47.68,496

9246,-0.89,-0.37,-0.02,5.18,13.99,-58.25,496

9266,-0.91,-0.36,0.03,15.09,14.13,-67.54,497

9286,-0.87,-0.3,0.0,26.07,24.5,-54.55,498

9307,-0.99,-0.28,-0.03,30.97,28.82,-66.68,499

9326,-1.1,-0.32,0.04,39.7,32.88,-89.98,500

9347,-1.2,-0.43,0.16,52.92,38.34,-99.16,502

9366,-1.25,-0.57,0.26,63.15,44.11,-115.56,505

9387,-1.27,-0.53,0.28,79.81,47.78,-127.67,507

9406,-1.32,-0.21,0.38,85.02,44.34,-114.25,508

9426,-1.23,-0.2,0.37,64.76,47.9,-121.97,510

9446,-1.09,-0.43,0.16,39.92,34.16,-112.74,511

9466,-0.86,-0.53,-0.07,-9.66,1.47,-101.43,511

9486,-0.61,-0.7,-0.21,-52.8,-4.51,-82.23,510

9506,-0.49,-0.88,-0.25,-60.77,-9.14,-60.65,510

9526,-0.27,-1.1,-0.19,-36.8,-3.75,-30.82,509

9546,-0.09,-1.06,-0.2,6.36,2.13,-3.79,508

9566,-0.1,-0.92,-0.12,43.76,8.97,41.88,508

9586,-0.38,-0.67,0.01,50.05,-16.68,94.97,508

9606,-0.16,-0.64,-0.15,29.34,-42.53,137.31,507

9626,-0.42,-0.61,0.04,6.65,-40.16,164.51,507

9647,-0.47,-0.68,0.03,-2.63,-69.61,192.08,506

9666,-0.52,-0.8,0.02,-3.17,-67.6,190.01,506

9687,-0.73,-0.74,0.15,5.75,-68.28,207.6,506

9706,-0.73,-0.54,0.18,-10.73,-75.12,219.37,505

9726,-0.64,-0.59,0.13,-24.39,-73.78,210.37,504

9746,-0.75,-0.53,0.09,-21.79,-62.88,202.61,502

9766,-0.92,-0.52,0.18,-22.27,-67.26,197.84,501

9786,-0.78,-0.41,0.21,-21.43,-68.07,189.45,499

9806,-0.8,-0.48,0.1,-15.37,-48.19,159.69,498

9826,-1.03,-0.52,0.18,10.01,-36.13,124.38,495

9846,-0.8,-0.21,0.1,17.5,-29.21,126.02,495

9866,-0.92,-0.05,0.05,14.95,-8.28,74.79,494

9886,-1.05,0.1,0.21,-1.15,-10.22,55.12,494

9906,-0.94,0.06,0.08,-14.86,-3.49,6.63,494

9926,-0.88,-0.12,0.06,-25.43,1.04,-23.95,495

9947,-0.89,-0.08,0.08,-45.87,4.77,-55.71,495

9966,-0.83,-0.24,0.0,-65.29,5.24,-82.34,495

9987,-1.04,-0.41,0.34,-32.97,29.08,-43.32,495

10006,-1.33,-0.16,0.44,-14.48,17.62,-17.55,496

10027,-1.03,-0.15,0.21,-39.66,1.93,-73.75,497

10046,-0.75,-0.35,0.11,-73.63,-3.49,-64.92,497

10066,-0.64,-0.55,0.03,-48.94,20.56,-50.96,497

10086,-0.96,-0.45,0.08,-10.74,30.16,-37.02,497

10106,-0.82,-0.16,0.13,-19.12,24.13,-34.59,497

10126,-0.87,-0.3,0.22,-21.78,30.6,-44.12,497

10146,-0.95,-0.23,0.03,-23.18,29.62,-29.49,496

10166,-0.87,-0.36,-0.04,-29.02,26.82,-36.47,496

10186,-0.85,-0.52,-0.03,-5.38,41.15,-34.58,496

10206,-0.95,-0.3,0.02,-1.41,36.75,-32.2,496

