Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Capacitance
7269,-0.91,-0.25,0.06,-7.62,-0.19,-1.78,467
7289,-0.94,-0.21,0.06,-10.52,-0.63,-2.53,465
7309,-0.92,-0.25,0.08,-12.2,-1.93,-3.33,465
7329,-0.91,-0.28,0.06,-10.29,-1.36,-3.92,465
7349,-0.9,-0.3,0.05,-5.88,1.63,-3.63,465
7369,-0.91,-0.27,0.07,-0.99,2.09,-3.1,465
7389,-0.92,-0.2,0.09,-0.88,1.94,-3.08,465
7409,-0.95,-0.21,0.1,-6.24,-1.01,-3.84,465
7430,-0.91,-0.24,0.07,-11.66,-1.62,-4.15,465
7450,-0.9,-0.29,0.04,-11.36,-1.47,-4.27,465
7471,-0.91,-0.31,0.04,-9.3,-0.46,-4.55,465
7490,-0.91,-0.33,0.05,-5.1,0.55,-3.97,465
7511,-0.9,-0.28,0.06,-1.16,0.15,-3.05,466
7530,-0.92,-0.24,0.08,-1.69,1.13,-3.07,466
7550,-0.94,-0.21,0.07,-4.49,0.12,-3.3,466
7570,-0.92,-0.28,0.08,-6.06,-1.07,-4.33,466
7590,-0.9,-0.31,0.07,-2.82,1.05,-4.41,465
7610,-0.91,-0.28,0.05,-4.04,-0.29,-4.12,466
7630,-0.92,-0.27,0.05,-4.81,-1.29,-4.81,466
7650,-0.9,-0.29,0.07,-2.75,-1.67,-4.91,466
7670,-0.9,-0.32,0.06,-0.44,-0.81,-4.84,466
7690,-0.91,-0.31,0.05,-0.15,-0.98,-5.08,466
7710,-0.89,-0.29,0.03,1.91,-0.13,-4.1,466
7730,-0.93,-0.25,0.05,4.75,1.04,-4.17,466
7750,-0.93,-0.21,0.09,4.92,0.82,-5.71,466
7771,-0.93,-0.22,0.09,6.54,2.96,-8.76,466
7790,-0.95,-0.22,0.09,8.6,4.38,-11.39,466
7811,-0.95,-0.18,0.09,8.58,5.13,-13.37,467
7830,-0.96,-0.15,0.06,8.34,6.9,-16.81,467
7851,-0.96,-0.17,0.06,15.47,10.88,-22.96,467
7870,-0.96,-0.32,0.1,28.35,18.38,-31.77,468
7890,-0.96,-0.28,0.09,44.35,23.48,-35.11,468
7910,-1.02,-0.15,0.19,57.7,27.34,-40.93,470
7930,-1.0,0.0,0.21,57.9,28.39,-41.25,471
7950,-1.0,0.17,0.21,24.67,23.1,-39.42,474
7970,-0.92,-0.1,0.19,-14.96,9.72,-44.41,475
7990,-0.91,-0.4,0.17,-31.72,0.38,-42.27,476
8010,-0.81,-0.6,0.04,-32.41,1.14,-38.07,476
8030,-0.9,-0.58,0.1,-19.86,-9.12,-19.8,476
8050,-0.97,-0.21,0.16,-24.21,-33.13,14.93,476
8070,-1.02,-0.11,0.12,-43.1,-44.51,33.8,476
8090,-0.97,-0.29,0.15,-41.16,-51.82,46.9,477
8111,-0.91,-0.45,0.19,-8.4,-40.64,56.89,478
8130,-0.92,-0.38,0.13,23.01,-32.46,70.45,478
8151,-0.97,-0.11,0.13,21.62,-38.87,89.53,477
8170,-0.87,-0.07,0.13,1.56,-45.29,86.12,476
8190,-0.91,-0.29,0.13,-3.27,-39.84,78.9,476
8210,-0.84,-0.38,0.15,9.53,-38.31,80.2,476
8230,-0.8,-0.34,0.11,26.4,-26.19,79.91,476
8250,-0.87,-0.2,0.09,31.97,-21.09,78.2,475
8270,-0.8,-0.17,0.1,28.43,-19.71,66.31,475
8290,-0.81,-0.31,0.1,33.22,-9.73,50.67,475
8310,-0.88,-0.31,0.12,41.79,-1.96,46.67,476
8330,-0.83,-0.21,0.12,42.54,3.05,38.45,476
8350,-0.82,-0.16,0.13,38.35,7.65,26.11,475
8370,-0.89,-0.02,0.09,25.1,7.74,13.51,475
8390,-0.91,-0.04,0.14,3.1,4.73,-0.73,475
8411,-0.85,-0.14,0.13,-11.45,5.65,-13.63,475
8430,-0.89,-0.06,0.08,-20.9,9.51,-26.68,476
8451,-0.91,-0.05,0.07,-43.16,2.62,-33.78,475
8470,-0.88,-0.19,0.13,-57.8,12.27,-42.12,475
8491,-1.29,-0.2,0.6,-48.3,18.94,-21.84,476
8510,-1.32,-0.04,0.55,-60.29,-15.79,-10.2,477
8530,-0.79,-0.14,0.08,-66.98,-0.35,-46.58,476
8550,-0.9,-0.41,-0.09,-56.79,13.48,-53.98,475
8570,-0.82,-0.5,-0.22,-17.2,23.16,-30.23,474
8590,-0.73,-0.45,0.04,26.73,46.01,-32.03,474
8610,-1.04,-0.23,0.33,17.53,36.71,-26.1,475
8630,-0.97,0.06,0.21,-24.52,17.65,-21.45,475
8650,-0.78,-0.24,0.01,-44.4,23.52,-29.59,473
8670,-0.99,-0.45,-0.09,-22.33,30.97,-26.81,472
8690,-0.96,-0.26,-0.02,-10.04,25.34,-23.84,472
8710,-0.94,-0.18,0.01,-15.88,25.36,-26.36,473
8730,-0.93,-0.23,0.01,-23.81,21.42,-29.78,473
8751,-0.89,-0.31,-0.02,-18.43,22.39,-29.31,473
8770,-0.94,-0.24,-0.03,-15.91,22.06,-29.07,472
8791,-0.92,-0.2,-0.04,-16.93,20.73,-29.91,472
8810,-0.9,-0.27,0.01,-17.19,19.97,-31.63,473
8830,-0.88,-0.28,0.02,-15.48,21.2,-30.62,473
8850,-0.89,-0.27,0.03,-15.25,21.19,-31.14,473
8870,-0.91,-0.24,0.0,-14.07,20.96,-33.2,473
8890,-0.89,-0.26,-0.05,-14.4,20.27,-37.05,473
8910,-0.86,-0.35,-0.04,-8.21,21.77,-37.62,474
8930,-0.85,-0.32,0.02,-1.33,25.81,-36.0,474
8950,-0.88,-0.3,0.02,-4.33,25.28,-37.72,475
