Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Capacitance
7268,-0.91,-0.27,0.04,2.77,0.24,0.83,470
7288,-0.91,-0.27,0.06,1.43,0.12,0.48,468
7308,-0.91,-0.27,0.05,0.89,-0.27,0.33,468
7328,-0.91,-0.27,0.06,-0.5,-0.77,0.05,468
7348,-0.91,-0.28,0.06,-2.16,-1.18,0.01,468
7368,-0.91,-0.28,0.05,-2.89,-1.4,-0.16,468
7388,-0.91,-0.29,0.05,-3.4,-1.23,0.01,468
7408,-0.9,-0.32,0.04,-2.83,-1.43,0.05,468
7429,-0.91,-0.3,0.05,-2.21,-1.26,0.16,468
7448,-0.92,-0.3,0.06,-2.3,-1.46,0.45,468
7469,-0.9,-0.31,0.04,-1.35,-1.26,0.1,468
7488,-0.91,-0.28,0.04,-0.01,-1.0,-0.02,468
7508,-0.9,-0.28,0.05,-1.22,-2.2,0.25,468
7528,-0.91,-0.3,0.05,-3.38,-2.33,0.27,468
7548,-0.9,-0.32,0.03,-1.87,-2.36,0.24,468
7568,-0.89,-0.34,0.05,2.08,-0.65,0.1,467
7588,-0.9,-0.34,0.05,4.22,-0.36,0.57,468
7608,-0.89,-0.31,0.05,2.88,-0.88,0.71,468
7628,-0.9,-0.29,0.08,0.3,-1.4,1.46,467
7648,-0.93,-0.22,0.06,-7.57,-4.54,2.04,467
7668,-0.93,-0.24,0.04,-13.26,-5.07,0.92,467
7688,-0.91,-0.3,0.03,-7.51,-3.59,-0.36,467
7708,-0.91,-0.31,0.04,2.17,-1.09,-1.35,467
7729,-0.91,-0.24,0.06,3.01,-0.36,-1.9,467
7749,-0.92,-0.24,0.06,0.11,0.48,-4.04,467
7770,-0.91,-0.28,0.06,1.4,-0.02,-5.05,467
7789,-0.9,-0.31,0.04,4.74,2.21,-6.19,468
7810,-0.92,-0.29,0.04,6.65,2.09,-6.68,467
7829,-0.92,-0.27,0.03,5.78,1.46,-7.03,467
7849,-0.91,-0.26,0.05,4.42,0.45,-8.76,467
7869,-0.92,-0.29,0.06,8.51,3.25,-11.0,468
7889,-0.93,-0.27,0.05,13.06,4.48,-13.52,468
7909,-0.92,-0.25,0.03,18.43,8.73,-16.8,469
7929,-0.96,-0.27,0.06,26.56,12.82,-20.44,469
7949,-0.93,-0.24,0.05,31.21,12.27,-22.93,469
7969,-0.98,-0.13,0.12,37.24,16.62,-28.64,470
7989,-0.96,-0.06,0.17,45.0,20.99,-34.96,471
8009,-1.03,0.06,0.21,47.73,28.45,-40.38,472
8029,-1.1,0.12,0.32,32.75,24.5,-51.09,475
8049,-1.04,-0.0,0.2,-9.17,12.71,-52.79,478
8070,-0.84,-0.45,0.08,-33.58,4.85,-52.36,477
8090,-0.86,-0.74,0.0,-23.43,10.6,-43.87,478
8111,-0.82,-0.75,0.1,8.11,1.72,-20.1,478
8130,-0.88,-0.4,0.11,14.2,-13.87,13.94,478
8151,-0.94,-0.17,0.08,-19.95,-39.88,40.39,479
8170,-0.91,-0.31,0.09,-41.48,-49.81,58.31,478
8190,-0.9,-0.53,0.12,-25.64,-52.83,71.96,478
8210,-0.87,-0.48,0.13,1.06,-49.06,84.02,478
8230,-0.86,-0.33,0.14,16.62,-35.18,94.8,478
8250,-0.89,-0.3,0.09,15.12,-37.41,95.52,478
8270,-0.91,-0.3,0.08,18.22,-29.15,95.76,477
8290,-0.96,-0.28,0.16,19.88,-37.59,99.43,477
8310,-0.81,-0.2,0.18,19.79,-33.59,98.31,476
8330,-0.8,-0.27,0.15,26.51,-24.13,83.27,476
8350,-0.84,-0.22,0.17,30.81,-19.47,82.85,476
8370,-0.77,-0.14,0.09,23.38,-21.27,73.06,475
8390,-0.87,-0.18,0.12,16.01,-14.1,56.49,474
8411,-0.86,-0.15,0.19,10.63,-15.2,47.62,475
8430,-0.85,-0.13,0.15,12.11,-6.51,29.0,476
8451,-0.91,-0.16,0.14,10.8,1.99,8.48,476
8470,-0.92,-0.06,0.16,-1.25,2.05,-4.19,475
8491,-0.86,0.0,0.11,-24.89,2.13,-21.9,475
8510,-0.86,-0.11,0.06,-46.22,6.41,-41.22,475
8530,-0.84,-0.17,0.0,-57.64,10.91,-51.14,475
8550,-0.93,-0.32,0.12,-39.86,23.67,-37.29,475
8570,-1.34,-0.11,0.38,-13.14,23.8,-0.25,476
8590,-1.15,0.04,0.33,-27.75,5.67,-22.12,477
8610,-0.96,-0.14,0.19,-59.48,12.65,-47.72,476
8630,-0.85,-0.37,0.02,-67.41,2.05,-33.72,475
8650,-0.64,-0.63,-0.02,-25.37,28.47,-37.7,475
8670,-0.76,-0.7,0.07,28.22,54.59,-35.25,475
8690,-1.06,-0.33,0.15,48.95,47.43,-28.67,475
8710,-0.94,-0.03,0.05,16.91,32.25,-24.88,475
8730,-0.91,-0.28,-0.07,-6.36,34.42,-33.81,474
8751,-0.97,-0.43,-0.13,0.3,26.47,-26.56,474
8770,-0.85,-0.42,-0.07,17.53,32.33,-29.47,475
8791,-0.98,-0.37,-0.02,31.0,33.29,-29.9,476
8810,-0.89,-0.36,0.0,32.48,31.11,-29.23,476
8830,-0.86,-0.54,-0.0,43.12,40.86,-31.38,476
8850,-0.93,-0.35,-0.03,52.2,33.86,-20.85,475
8870,-0.88,-0.19,-0.13,32.51,26.18,-15.7,475
8890,-0.89,-0.37,-0.08,20.1,21.99,-17.57,475
8910,-0.86,-0.45,-0.0,33.04,24.33,-15.43,474
