Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Capacitance

7266,-0.91,-0.33,0.03,0.64,-2.62,1.23,480

7286,-0.91,-0.29,0.05,2.34,-1.8,0.1,477

7306,-0.93,-0.26,0.05,0.44,-3.32,6.7,477

7326,-0.92,-0.27,0.03,-0.4,-4.27,-0.85,477

7346,-0.91,-0.29,0.05,2.32,-3.51,8.99,477

7366,-0.91,-0.34,0.05,13.74,0.78,-3.43,477

7387,-0.94,-0.22,0.04,14.03,-0.53,2.85,477

7406,-0.94,-0.22,0.05,11.18,-0.82,-3.04,477

7427,-0.93,-0.18,0.03,15.25,0.11,-5.85,477

7446,-0.95,-0.13,0.01,12.49,-0.36,-3.47,477

7467,-0.96,-0.1,0.01,4.81,-3.47,-11.0,477

7486,-0.94,-0.19,0.02,5.71,-3.4,-16.92,477

7506,-0.92,-0.28,0.05,20.75,1.69,-19.42,477

7526,-0.93,-0.24,0.06,28.15,4.51,-21.3,478

7546,-0.94,-0.2,0.07,31.45,3.95,-25.91,478

7566,-0.96,-0.13,0.05,35.6,3.65,-23.85,478

7586,-0.99,-0.03,0.06,38.55,3.73,-37.47,479

7606,-1.01,0.04,0.09,40.14,3.36,-42.58,480

7626,-1.07,0.13,0.11,38.95,3.3,-49.9,481

7646,-1.09,0.18,0.17,25.97,1.93,-49.36,482

7666,-1.18,0.11,0.22,5.89,4.88,-61.31,483

7686,-1.13,-0.16,0.25,-18.69,0.48,-76.49,484

7706,-0.88,-0.5,0.09,-28.66,-4.07,-60.18,482

7727,-0.8,-0.64,0.13,-17.16,0.65,-41.26,481

7746,-0.85,-0.49,0.15,-22.55,-16.07,2.12,480

7767,-0.7,-0.49,0.1,-35.53,-30.44,58.38,479

7786,-0.72,-0.6,0.1,-24.92,-33.81,80.0,479

7806,-0.79,-0.39,0.2,-12.82,-41.23,120.28,480

7826,-0.77,-0.33,0.17,-10.96,-40.68,126.46,481

7846,-0.91,-0.36,0.21,-3.76,-23.38,135.64,482

7866,-0.89,-0.28,0.2,-6.5,-24.15,128.68,482

7886,-0.84,-0.14,0.16,-9.79,-15.18,138.45,482

7906,-0.89,-0.17,0.1,-16.6,-18.99,125.67,481

7926,-0.89,-0.06,0.12,-9.02,-13.78,119.73,480

7946,-0.9,-0.06,0.09,-7.24,-17.46,102.54,480

7966,-0.91,-0.06,0.09,7.47,-6.35,70.14,479

7986,-0.87,-0.1,0.09,21.27,1.93,45.01,479

8006,-0.86,-0.12,0.05,29.88,8.37,25.41,479

8027,-0.9,-0.05,0.13,23.91,10.17,0.27,479

8046,-0.94,-0.02,0.1,3.04,2.82,-5.16,478

8067,-0.97,-0.0,0.05,-18.82,-0.94,-27.12,479

8086,-1.02,0.02,0.06,-51.62,-8.73,-25.0,478

8107,-0.89,-0.14,0.06,-83.86,-23.6,-61.59,478

8126,-0.8,-0.44,0.13,-73.16,-2.85,-50.03,477

8146,-1.66,-0.3,0.44,-15.21,35.21,-34.72,479

8166,-0.97,-0.12,0.26,-15.82,-15.81,-41.82,479

8186,-0.63,-0.33,0.13,-13.22,4.08,-69.97,479

8206,-0.83,-0.39,0.14,-18.24,5.2,-42.75,478

8226,-0.87,-0.32,0.03,-11.07,16.16,-36.54,478

8246,-0.9,-0.32,0.13,-11.68,19.36,-37.48,478

8266,-0.93,-0.28,0.26,-9.88,19.35,-28.26,478

8286,-0.99,-0.02,0.09,-27.89,6.13,-31.21,478

8306,-0.81,-0.22,-0.0,-41.42,10.86,-30.75,477

8326,-0.85,-0.45,0.07,-14.87,29.26,-33.22,477

8346,-0.99,-0.14,0.1,-8.41,24.45,-31.5,477

8367,-0.88,-0.13,0.01,-36.03,12.24,-29.71,477

8386,-0.87,-0.46,-0.03,-31.28,15.69,-28.91,477

8407,-0.91,-0.4,-0.04,-13.77,20.27,-40.56,477

8426,-0.9,-0.31,-0.0,-10.79,18.48,-25.75,477

8446,-0.92,-0.31,0.0,-14.78,12.59,-26.65,476

8466,-0.89,-0.37,0.03,-13.88,10.69,-23.72,476

8486,-0.87,-0.41,0.05,-9.1,11.53,-27.33,476

8506,-0.9,-0.35,0.04,-5.59,11.76,-28.03,477

8526,-0.88,-0.32,0.02,-8.9,9.93,-21.8,476

8546,-0.86,-0.38,0.03,-8.15,11.76,-29.05,476

8566,-0.9,-0.35,0.05,-3.73,12.63,-21.51,476

8586,-0.89,-0.3,0.05,-6.67,10.31,-20.98,476

8606,-0.86,-0.34,0.03,-3.71,14.62,-27.01,476

8626,-0.92,-0.29,0.02,3.51,16.3,-29.18,476

8646,-0.92,-0.22,0.04,3.42,13.35,-33.91,476

8667,-0.89,-0.22,0.0,5.05,12.6,-38.59,476

8686,-0.91,-0.28,-0.05,-1.16,8.48,-43.74,475

8707,-0.88,-0.39,-0.05,-3.28,6.13,-38.35,475

8726,-0.89,-0.36,-0.04,0.17,7.88,-46.83,474

8747,-0.87,-0.38,-0.02,8.08,10.95,-53.05,475

8766,-0.85,-0.35,-0.07,17.15,16.57,-52.03,475

8786,-1.04,-0.31,-0.16,27.74,19.47,-61.74,476

8806,-1.17,-0.36,0.16,49.07,19.0,-92.11,477

8826,-1.25,-0.34,0.29,93.92,37.73,-98.02,479

8846,-1.35,-0.14,0.34,120.76,46.65,-110.5,482

8866,-1.39,-0.18,0.43,124.43,51.5,-134.68,485

8886,-1.52,-0.2,0.3,125.94,54.8,-165.37,488

8906,-1.43,-0.0,0.31,109.97,50.42,-157.89,490

8926,-1.05,-0.13,0.26,65.11,30.59,-143.81,489

8946,-0.65,-0.42,0.07,-2.4,7.0,-113.53,486

8966,-0.49,-0.58,-0.36,-61.31,-31.92,-79.89,483

8986,-0.45,-0.94,-0.17,-44.93,5.7,-56.28,481

9007,-0.49,-1.29,0.02,37.56,26.91,-6.97,482

9026,-0.45,-0.99,0.0,102.26,29.15,37.79,482

9047,-0.46,-0.46,-0.02,87.31,20.42,89.41,481

9066,-0.52,-0.31,0.0,10.73,-23.67,139.73,480

9086,-0.53,-0.56,0.06,-49.59,-46.8,166.65,480

9106,-0.45,-0.88,0.08,-46.72,-49.49,189.41,479

9126,-0.45,-0.97,0.13,-0.5,-35.55,203.35,480

9146,-0.53,-0.67,0.22,18.4,-25.81,226.31,481

